title,index_show,badge,follow,play,score,is_finish,media_id,cover
骑士&魔法,全13话,免费观看,133.8万人追番,3800.5万次播放,8.1分,1,6304,http://i0.hdslb.com/bfs/bangumi/0b06b207c8f1dbbccdc475ed387ef8873deb21ac.jpg
当女孩遇到熊,全12话,免费观看,5.1万人追番,33.1万次播放,8.1分,1,98612,http://i0.hdslb.com/bfs/bangumi/133b8fb568459305a837fc6c9d519daf86f9eb6f.jpg
12岁。第二季,全12话,免费观看,10.8万人追番,310.2万次播放,8.1分,1,5544,http://i0.hdslb.com/bfs/bangumi/c2d312d73a8a237a523146b5423d3fc01689d237.jpg
美妙天堂 偶像时间,全51话,会员专享,5.7万人追番,267.8万次播放,8.1分,1,5963,http://i0.hdslb.com/bfs/bangumi/d2525839a54d9c7ea1a25d1097f40c12ebf4f595.jpg
战刻夜想曲,全12话,免费观看,22.4万人追番,260.7万次播放,8.1分,1,6449,http://i0.hdslb.com/bfs/bangumi/32f47a98299a551675a1562b8916597f5c445f83.jpg
Rewrite,全13话,免费观看,110.1万人追番,2598.4万次播放,8.1分,1,5020,http://i0.hdslb.com/bfs/bangumi/77a8be24ae45d1c52b2c1a65851e6e20e63a7167.jpg
春原庄的管理人小姐,全12话,免费观看,87.8万人追番,1552.8万次播放,8.1分,1,102592,http://i0.hdslb.com/bfs/bangumi/df92247e200aeb61f8aceda2e2b661c7dc07a328.jpg
有你的小镇,全12话,免费观看,14.8万人追番,133.5万次播放,8.1分,1,2714,http://i0.hdslb.com/bfs/bangumi/b4f31b4e4c04dcb6b905e021dfb00cdfe7e823fb.jpg
"Wake Up, Girls! 新章",全13话,会员专享,9.9万人追番,72.6万次播放,8.0分,1,6442,http://i0.hdslb.com/bfs/bangumi/e17eb0ef54c1cb87f99a470eb3a3451863b822b9.jpg
精灵宝可梦 超级愿望,全108话,免费观看,3.7万人追番,60.8万次播放,8.0分,1,6164,http://i0.hdslb.com/bfs/bangumi/657374edf1da47189815dfe4c5f36273df6ab694.jpg
黑色四叶草,更新至第61话,会员专享,87.6万人追番,2645.1万次播放,8.0分,0,6422,http://i0.hdslb.com/bfs/bangumi/c345335f3cc395f7cfbe7e7e0a4913f9b1671fe2.jpg
魔法禁书目录 第三季,更新至第10话,会员抢先,214.3万人追番,2207.4万次播放,8.0分,0,134912,http://i0.hdslb.com/bfs/bangumi/a92892921f3209f7784a954c37467c9869a1d4c1.png
牙狼 -红莲之月-,全24话,免费观看,7万人追番,216.4万次播放,8.0分,1,2774,http://i0.hdslb.com/bfs/bangumi/9a224c7c8a81c56bbe676baa513f7e4bcd6d2e08.jpg
红 Kurenai,全12话,免费观看,12.6万人追番,108.5万次播放,8.0分,1,1197,http://i0.hdslb.com/bfs/bangumi/5549ef0ee38eed8414fa5feadded2a33e55b6df2.jpg
魔法少女育成计划,全12话,免费观看,39.3万人追番,678.1万次播放,7.9分,1,5506,http://i0.hdslb.com/bfs/bangumi/927fc75f3f044d4115392ffdad8fbcce9dbe2f95.jpg
甲铁城的卡巴内瑞,全12话,免费观看,182.2万人追番,4974.4万次播放,7.9分,1,3494,http://i0.hdslb.com/bfs/bangumi/6603936f61460f284c153b5fbdf2a8f6b2acb34c.jpg
Tokyo Guru: re (Part 2)（僅限港澳台地區）,更新至第9话,免费观看,2.5万人追番,26.7万次播放,7.9分,0,140692,http://i0.hdslb.com/bfs/bangumi/4ad661f7ec783bbb07c89aada102914fb0e81425.png
曾几何时天魔的黑兔,全12话,免费观看,20.7万人追番,143.9万次播放,7.9分,1,902,http://i0.hdslb.com/bfs/bangumi/e4292f10313c23f4ee5171feaca974ce270fb5a9.jpg
交响诗篇 AO,全24话,免费观看,2.2万人追番,105.4万次播放,7.9分,1,791,http://i0.hdslb.com/bfs/bangumi/eb793b6d35e5b911480a5d7428bf85f2ef0d997d.jpg
新妹魔王的契約者（僅限港澳台）,全12话,免费观看,9.3万人追番,10.8万次播放,7.9分,1,6286,http://i0.hdslb.com/bfs/bangumi/b39e4648f2fab366d6f1c41a60b2c4a52eb85446.jpg
Infinite Stratos 2,全12话,免费观看,70.7万人追番,977.5万次播放,7.8分,1,3489,http://i0.hdslb.com/bfs/bangumi/b0b1b1a6a0bbf325b946307db78eb600c2f123d2.jpg
热诚传说 第二季,全13话,免费观看,51.4万人追番,874.9万次播放,7.8分,1,5789,http://i0.hdslb.com/bfs/bangumi/ba5e1473bfae1c69956a51e1156e455ef5132a36.jpg
暗芝居 第四季,全13话,会员专享,23.1万人追番,821.5万次播放,7.8分,1,5832,http://i0.hdslb.com/bfs/bangumi/553d0ba77ba810fb912837820f6f8fa27e494410.jpg
巴哈姆特之怒 VIRGIN SOUL,全24话,免费观看,20.7万人追番,657.5万次播放,7.8分,1,5968,http://i0.hdslb.com/bfs/bangumi/07480f8a5edb90cae861b265b98dd0ddc97cb4b1.jpg
学战都市Asterisk,全12话,免费观看,121.2万人追番,5434.4万次播放,7.8分,1,2722,http://i0.hdslb.com/bfs/bangumi/c53c6d891115ae783e57bc4cb0c8a456f8788fef.jpg
少女骑士物语,全12话,免费观看,29.2万人追番,264.5万次播放,7.8分,1,480,http://i0.hdslb.com/bfs/bangumi/5265bcd467b56e85f7b0fb6ded9cb0fe786caa27.jpg
音乐少女,全12话,免费观看,12.5万人追番,182.1万次播放,7.8分,1,102032,http://i0.hdslb.com/bfs/bangumi/f727ff7a769ebec48d2e404e878593bf649d651c.jpg
弹丸论破3 -绝望篇-,全12话,免费观看,70.8万人追番,1662.1万次播放,7.8分,1,5057,http://i0.hdslb.com/bfs/bangumi/c70cb401c95300511efa8bc651c76cf065499225.jpg
双星之阴阳师,全50话,会员专享,153.3万人追番,7617.5万次播放,7.7分,1,3462,http://i0.hdslb.com/bfs/bangumi/4d06e660b8da9cb5335552f4ebde89bbcb2e9d4f.jpg
CHAOS;CHILD,全14话,免费观看,38.5万人追番,594.9万次播放,7.7分,1,5802,http://i0.hdslb.com/bfs/bangumi/b5bd599fa35202d526aff10f0504ad0894695657.jpg
PUPA,全12话,免费观看,14.1万人追番,474.1万次播放,7.7分,1,247,http://i0.hdslb.com/bfs/bangumi/4d4c0ebd64f59a2e18aedab1d349969af28fa66d.jpg
Ange Vierge,全12话,免费观看,32.3万人追番,368万次播放,7.7分,1,5053,http://i0.hdslb.com/bfs/bangumi/b4b5e51b8bed79edcedb5a3a598164dee6a8495c.jpg
恋爱暴君,全12话,免费观看,134.1万人追番,2984.2万次播放,7.7分,1,5996,http://i0.hdslb.com/bfs/bangumi/8aa87787edd29b84c4091e8e483ae48422b7bbd0.jpg
十二大战,全12话,免费观看,114.8万人追番,2761.2万次播放,7.7分,1,6420,http://i0.hdslb.com/bfs/bangumi/79aeb20ed7ea1d6fc2744c5815dc7d6ded370b50.jpg
热诚传说X,全13话,免费观看,108.7万人追番,2347.4万次播放,7.7分,1,5022,http://i0.hdslb.com/bfs/bangumi/6e6a7524c42efb8061985f9fe1a0448e6913c3e2.jpg
Fate/Grand Order ‐First Order‐,全1话,免费观看,165.4万人追番,1535.8万次播放,7.7分,1,5747,http://i0.hdslb.com/bfs/bangumi/b75c55d209d156c8631f5ceb21e5c52c834dbb60.jpg
夜樱四重奏,全12话,免费观看,10万人追番,63万次播放,7.6分,1,472,http://i0.hdslb.com/bfs/bangumi/801ce571558800627e9b5f70c3a52ae7a09ae81d.jpg
黑之宣告,全12话,会员专享,26.5万人追番,363万次播放,7.6分,1,3115,http://i0.hdslb.com/bfs/bangumi/f25073d5fef65a4658905d300122fc47239320e6.jpg
食梦者玛利,全13话,免费观看,8.8万人追番,3.7万次播放,7.6分,1,865,http://i0.hdslb.com/bfs/bangumi/a6b0cc11998d5cc1655d4e595f83fcccaf610e5b.jpg
你还是不懂群马,全12话,免费观看,15万人追番,267.8万次播放,7.6分,1,77692,http://i0.hdslb.com/bfs/bangumi/5bbc52f772f58448567dda71618b2b73f78418cc.jpg
RErideD-穿越时空的德理达,全12话,免费观看,23万人追番,251.9万次播放,7.6分,1,139372,http://i0.hdslb.com/bfs/bangumi/b41b9f922d56090a5b0e0948b3fc6f45209a08a5.png
绯弹的亚里亚 AA,全12话,免费观看,42.1万人追番,1048.9万次播放,7.6分,1,2764,http://i0.hdslb.com/bfs/bangumi/e0fa59a7a750f97bc20cf70e0f9f8982ce0bb3aa.jpg
TRICKSTER,全24话,免费观看,46万人追番,800.7万次播放,7.5分,1,5542,http://i0.hdslb.com/bfs/bangumi/3501378364ff84cbb42d2ee946334cd3b2dec453.jpg
12岁。,全12话,免费观看,23.1万人追番,769.4万次播放,7.5分,1,3493,http://i0.hdslb.com/bfs/bangumi/60afdf79b4d377c4bb4141f10216f9785e46927b.jpg
叛逆性百万亚瑟王,更新至第7话,会员抢先,30.2万人追番,217.8万次播放,7.5分,0,139412,http://i0.hdslb.com/bfs/bangumi/ac72dc1c91cec71ce1633083435320173e2d8c68.jpg
苍之彼方的四重奏,全12话,免费观看,63.7万人追番,1378.9万次播放,7.5分,1,3106,http://i0.hdslb.com/bfs/bangumi/fa218bbc1f73d86824dddb3048691058a82ccf25.jpg
魔法科高校的劣等生（僅限港澳台）,全26话,免费观看,2万人追番,13.6万次播放,7.5分,1,6243,http://i0.hdslb.com/bfs/bangumi/24f3a39e552199f590a6b3dfd3f0979e9582eca5.jpg
真月谭月姬,全12话,免费观看,11.5万人追番,5.2万次播放,7.4分,1,1983,http://i0.hdslb.com/bfs/bangumi/fa4cce5af008563c73ad942d5bc04124ec4fe44f.jpg
铳皇无尽的法夫纳,全12话,免费观看,42.6万人追番,292.1万次播放,7.4分,1,1511,http://i0.hdslb.com/bfs/bangumi/26205de8ec07cc831ca0b510903bd1947cc5c228.jpg
战斗女子高校,全12话,免费观看,21.8万人追番,224.4万次播放,7.4分,1,6306,http://i0.hdslb.com/bfs/bangumi/25e1e147d594707ada4a0c7ad0826489e9e3b723.jpg
时钟机关之星,全12话,免费观看,92.8万人追番,1571.7万次播放,7.4分,1,6000,http://i0.hdslb.com/bfs/bangumi/9d1657d52788eed1c5fa6a6f0d605226928c1137.jpg
爱玩怪兽,更新至第10话,会员专享,1.2万人追番,36.9万次播放,7.3分,0,141052,http://i0.hdslb.com/bfs/bangumi/c200e369e9cd98a024f0a58f4363935e69cd044b.jpg
